CLIP1,CLIP2,CLIP3,CLIP4,CLIP5,CLIP6,CLIP7,CLIP8,CLIP9,CLIP10,CLIP11,CLIP12,CLIP13,CLIP14,CLIP15,CLIP16,CLIP17,CLIP18,CLIP19,CLIP20,CLIP21,CLIP22,CLIP23,CLIP24,CLIP25,CLIP26,CLIP27,CLIP28,LEN1,LEN2,LEN3,LEN4,LEN5,LEN6,LEN7,LEN8,LEN9,LEN10,LEN11,LEN12,LEN13,LEN14,LEN15,LEN16,LEN17,LEN18,LEN19,LEN20,LEN21,LEN22,LEN23,LEN24,LEN25,LEN26,LEN27,LEN28,SPEC1,SPEC2,SPEC3,SPEC4,SPEC5,SPEC6,SPEC7,SPEC8,SPEC9,SPEC10,SPEC11,SPEC12,SPEC13,SPEC14,SPEC15,SPEC16,SPEC17,SPEC18,SPEC19,SPEC20,SPEC21,SPEC22,SPEC23,SPEC24,SPEC25,SPEC26,SPEC27,SPEC28,PERSONS,DAYTYPE,FISH,FISHERY,RES,SITE,STATE,STATUS,SUCCESS,MONTH,DAY,YEAR,STARTMM,STARTHH,STOPMM,STOPHH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,1,313,1,1,0,5,17,14,30,9,30,15
0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,15.6,15,14.8,13.9,13.9,21.5,,,,,,,,,,,,,,,,,,,,,,,049,049,049,049,045,045,,,,,,,,,,,,,,,,,,,,,,,2,2,6,1,2,313,1,1,2,5,17,14,0,8,6,16
0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,049,049,049,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,1,1,313,1,1,1,5,17,14,30,7,28,15
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,049,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,313,1,1,1,5,17,14,30,11,28,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,1,313,1,1,0,5,17,14,30,9,52,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,1,1,313,1,1,0,5,17,14,0,7,30,15
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,24.2,25.3,22,22,,,,,,,,,,,,,,,,,,,,,,,,,011,011,011,011,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,2,1,313,1,1,3,5,17,14,0,9,32,14
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,045,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,313,1,1,1,5,17,14,0,10,43,14
0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,045,045,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,313,1,1,2,5,17,14,0,8,0,14
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,049,049,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,1,313,1,1,2,5,17,14,30,9,0,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,1,313,1,1,0,5,17,14,30,10,0,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,1,313,1,1,0,5,17,14,30,8,0,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0,1,1,313,1,1,0,5,21,14,43,7,2,12
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,045,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,313,1,1,1,5,21,14,0,9,53,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,2,313,1,1,0,5,21,14,0,8,28,11
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,048,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,313,1,1,1,5,21,14,15,8,45,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,313,1,1,0,5,21,14,0,6,28,10
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,045,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,313,1,1,1,5,21,14,30,6,27,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,2,1,313,1,1,0,5,23,14,0,16,49,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,7,1,313,1,1,0,5,23,14,0,14,37,17
0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,18,24.7,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,045,045,049,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,1,1,313,1,1,2,5,23,14,30,11,20,16
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,049,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,313,1,1,1,5,23,14,0,12,0,17
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,045,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,313,1,1,1,5,23,14,30,13,52,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,313,1,1,0,5,23,14,0,8,42,15
0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,15,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,049,049,049,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,1,1,313,1,1,2,5,24,14,30,8,0,14
0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,15,13.8,14.5,13.5,13.5,15,14.2,,,,,,,,,,,,,,,,,,,,,,049,049,049,049,049,045,046,,,,,,,,,,,,,,,,,,,,,,2,1,7,1,1,313,1,1,2,5,23,14,30,14,27,20
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,049,049,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,313,1,1,2,5,25,14,0,6,45,12
0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,17.2,15.9,16,14.1,13.8,,,,,,,,,,,,,,,,,,,,,,,,049,049,049,049,049,,,,,,,,,,,,,,,,,,,,,,,,4,2,5,1,1,313,1,1,4,5,25,14,30,6,0,13
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,049,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,313,1,1,1,5,25,14,30,10,26,12
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,045,045,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,313,1,1,1,5,25,14,0,7,32,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,1,313,1,1,0,5,25,14,30,7,48,11
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,15.1,15.1,15.1,14.1,14,20.8,16.7,,,,,,,,,,,,,,,,,,,,,,049,049,049,046,046,036,045,,,,,,,,,,,,,,,,,,,,,,3,2,7,1,1,313,1,1,3,5,25,14,30,8,6,12
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,14,24,,,,,,,,,,,,,,,,,,,,,,,,,,,049,035,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,1,313,1,1,2,5,25,14,0,7,12,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,2,1,313,1,1,0,5,25,14,0,6,27,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,0,7,1,313,1,1,0,5,25,14,0,9,35,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,2,1,313,1,1,0,5,25,14,15,7,45,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,1,1,313,1,1,0,5,25,14,45,4,16,9
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,049,049,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,1,1,313,1,1,2,5,25,14,30,4,35,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,2,1,313,1,1,0,5,25,14,0,6,25,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,1,313,1,1,0,5,25,14,15,5,55,8
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,26.5,18.5,15,15.2,14.5,13.8,14.7,,,,,,,,,,,,,,,,,,,,,,046,045,049,049,049,049,049,,,,,,,,,,,,,,,,,,,,,,3,2,7,1,1,313,1,1,3,5,25,14,0,8,55,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,313,1,1,0,5,26,14,0,8,34,13
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,049,035,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,1,313,1,1,2,5,29,14,0,6,25,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,313,1,1,0,5,29,14,16,7,4,13
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,049,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,313,1,1,1,5,29,14,30,6,25,11
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,045,045,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,1,313,1,1,2,5,29,14,30,7,10,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,313,1,1,0,5,29,14,0,6,10,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,313,1,1,0,5,29,14,0,7,25,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,313,1,1,0,5,29,14,0,9,0,14
0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,18,19.2,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,036,035,045,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,1,1,313,1,1,2,5,29,14,30,4,50,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,313,1,1,0,5,29,14,30,6,0,14
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,035,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,2,313,1,1,1,5,31,14,0,15,51,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,7,1,313,1,1,0,5,31,14,45,17,5,19
0,0,0,1,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,15.2,14.3,20,21.5,17.5,18.4,28.6,14,22.1,21.3,17.7,,,,,,,,,,,,,,,,,,049,049,045,045,049,045,035,049,045,045,045,,,,,,,,,,,,,,,,,,3,2,11,1,1,313,1,1,3,5,31,14,30,7,15,18
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,078,076,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,1,313,1,1,2,5,31,14,0,11,31,18
0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,16.1,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,049,049,035,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,1,2,313,1,1,3,5,31,14,15,8,12,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,7,1,313,1,1,0,5,31,14,0,11,35,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,1,2,313,1,1,0,5,31,14,30,12,20,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,1,1,313,1,1,0,5,31,14,0,7,35,16
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,32,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,043,045,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,1,313,1,1,2,5,31,14,0,7,20,16
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,043,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,1,313,1,1,1,5,31,14,30,13,20,16
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,045,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,313,1,1,1,5,31,14,0,8,0,15
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,035,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,2,313,1,1,1,5,31,14,45,5,35,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,2,1,313,1,1,0,5,31,14,30,10,31,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,7,1,313,1,1,0,5,31,14,24,14,0,15
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,045,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,1,1,1,313,1,1,1,5,31,14,0,6,15,14
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,21.3,17.6,19.5,18.9,,,,,,,,,,,,,,,,,,,,,,,,,035,035,045,045,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,1,1,313,1,1,2,5,31,14,0,7,19,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,0,2,1,313,1,1,1,5,31,14,30,5,0,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,1,1,313,1,1,0,5,31,14,0,9,0,14
0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,15.5,16.3,15.1,15,19.4,,,,,,,,,,,,,,,,,,,,,,,,078,078,078,078,078,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,2,1,313,1,1,1,6,4,14,0,8,50,18
0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,14.9,25.5,24,25.7,23.6,19.1,,,,,,,,,,,,,,,,,,,,,,,049,035,035,035,036,045,,,,,,,,,,,,,,,,,,,,,,,3,1,6,1,1,313,1,1,3,6,4,14,0,9,49,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,313,1,1,0,6,4,14,0,14,0,15
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,035,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,313,1,1,1,6,4,14,0,10,0,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,7,1,313,1,1,0,6,4,14,0,11,9,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,1,1,313,1,1,0,6,4,14,30,17,42,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,2,1,313,1,1,0,6,4,14,30,17,48,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,2,1,313,1,1,0,6,5,14,0,7,45,12
